Item1.Timestamp,Item1.Value,Item2.Timestamp,Item2.Value
968896.20058025,13184.14,968896.19989575,13184.14
968897.00854735,13184.95,968897.00807815,13184.95
968897.27157075,13185.21,968897.27205155,13185.21
968898.06661315,13186.01,968898.06592675,13186.01
968898.67348255,13186.62,968898.67347125,13186.62
968898.79643105,13186.74,968898.79638675,13186.74
968899.46340945,13187.41,968899.46293045,13187.41
968900.24556105,13188.19,968900.24513175,13188.19
968900.78847245,13188.73,968900.78843505,13188.73
968901.66339775,13189.61,968901.66303555,13189.61
968902.21545825,13190.16,968902.21567155,13190.16
968903.27551035,13191.22,968903.27557435,13191.22
968904.07844935,13192.02,968904.07798755,13192.02
968904.94746345,13192.89,968904.94687225,13192.89
968905.33730225,13193.28,968905.33688565,13193.28
968905.64837265,13193.59,968905.64861685,13193.59
968906.32042295,13194.26,968906.31992075,13194.26
968906.97133325,13194.91,968906.97087175,13194.91
968908.04531785,13195.99,968908.04486955,13195.99
968908.24629875,13196.19,968908.24602075,13196.19
968909.19434275,13197.14,968909.19378995,13197.14
968910.26827705,13198.21,968910.26779705,13198.21
968910.78430125,13198.73,968910.78439885,13198.73
968911.50320575,13199.45,968911.50341555,13199.45
968912.30831415,13200.25,968912.30771065,13200.25
968913.06527495,13201.01,968913.06580825,13201.01
968913.78631815,13201.73,968913.78564235,13201.73
968914.69727205,13202.64,968914.69739585,13202.64
968915.27416605,13203.22,968915.27382315,13203.22
968915.50917205,13203.45,968915.50892905,13203.45
968915.88715405,13203.83,968915.88684805,13203.83
968916.57136195,13204.51,968916.57169215,13204.51
968917.21124945,13205.15,968917.21263315,13205.15
968917.43014055,13205.37,968917.42979125,13205.37
968917.97412195,13205.92,968917.97374935,13205.92
968918.56401275,13206.51,968918.56373075,13206.51
968918.68605025,13206.63,968918.68545595,13206.63
968919.71816005,13207.66,968919.71790335,13207.66
968919.95000325,13207.89,968919.94969665,13207.89
968920.92702695,13208.87,968920.92679995,13208.87
968921.58100315,13209.52,968921.58077435,13209.52
968922.60809425,13210.55,968922.60783575,13210.55
968923.51011975,13211.45,968923.50957505,13211.45
968923.66697065,13211.61,968923.66649545,13211.61
968924.44298315,13212.39,968924.44277265,13212.39
968924.61604885,13212.56,968924.61548195,13212.56
968924.80098555,13212.74,968924.80124965,13212.74
968924.95507015,13212.9,968924.95432025,13212.9
968925.63701555,13213.58,968925.63658615,13213.58
968925.82495995,13213.77,968925.82444255,13213.77
968926.49290835,13214.44,968926.49216735,13214.44
968927.36695675,13215.31,968927.36622525,13215.31
968927.67394435,13215.62,968927.67315225,13215.62
968928.31398065,13216.26,968928.31317525,13216.26
968928.76207815,13216.7,968928.76180745,13216.7
968929.75901245,13217.7,968929.75815285,13217.7
968930.17891945,13218.12,968930.17821315,13218.12
968930.81391455,13218.76,968930.81376295,13218.76
968931.91893825,13219.86,968931.91888935,13219.86
968932.88285775,13220.83,968932.88272755,13220.83
968933.41187975,13221.35,968933.41112665,13221.35
968934.26683155,13222.21,968934.26613585,13222.21
968934.58992965,13222.53,968934.58994125,13222.53
968934.97688235,13222.92,968934.97602765,13222.92
968935.58684295,13223.53,968935.58613325,13223.53
968936.57777935,13224.52,968936.57710765,13224.52
968937.11788655,13225.06,968937.11723365,13225.06
968937.79979065,13225.74,968937.79991195,13225.74
968938.25279395,13226.2,968938.25204685,13226.2
968939.15379725,13227.1,968939.15329175,13227.1
968939.44764235,13227.39,968939.44707165,13227.39
968940.17776345,13228.12,968940.17725405,13228.12
968940.70771075,13228.65,968940.70702825,13228.65
968940.90871275,13228.85,968940.90795175,13228.85
968941.55193215,13229.5,968941.55221265,13229.5
968942.57576895,13230.52,968942.57538695,13230.52
968942.85373805,13230.8,968942.85384475,13230.8
968943.32181125,13231.26,968943.32191305,13231.26
968944.39560165,13232.34,968944.39611565,13232.34
968945.12657355,13233.07,968945.12678315,13233.07
968945.79265205,13233.74,968945.79306925,13233.74
968946.46265375,13234.41,968946.46413305,13234.41
968946.80460535,13234.75,968946.80479565,13234.75
968947.29860385,13235.24,968947.29904075,13235.24
968947.98660565,13235.93,968947.98701745,13235.93
968948.60263605,13236.55,968948.60378815,13236.55
968949.08256185,13237.03,968949.08301375,13237.03
968950.18665445,13238.13,968950.18707635,13238.13
968951.05553155,13239,968951.05568965,13239
968951.70754805,13239.65,968951.70800775,13239.65
968952.00351835,13239.95,968952.00405545,13239.95
968952.60754955,13240.55,968952.60777565,13240.55
968953.64651035,13241.59,968953.64697345,13241.59
968954.02147015,13241.96,968954.02182155,13241.96
968954.58154115,13242.52,968954.58087895,13242.52
968955.49749605,13243.44,968955.49703605,13243.44
968956.31088155,13244.25,968956.31077905,13244.25
968956.94440175,13244.89,968956.94393115,13244.89
968957.59440165,13245.54,968957.59412115,13245.54
968958.49735545,13246.44,968958.49689545,13246.44
968959.24134945,13247.18,968959.24068555,13247.18
968959.86335615,13247.81,968959.86270135,13247.81
968960.67434825,13248.62,968960.67372415,13248.62
968961.55942775,13249.5,968961.55970635,13249.5
968962.58555485,13250.53,968962.58632415,13250.53
968963.64536675,13251.59,968963.64459595,13251.59
968964.09740595,13252.04,968964.09690135,13252.04
968964.31230075,13252.26,968964.31189225,13252.26
968965.41631605,13253.36,968965.41557305,13253.36
968965.95833425,13253.9,968965.95865645,13253.9
968966.79531375,13254.74,968966.79537595,13254.74
968967.83332385,13255.78,968967.83382165,13255.78
968968.53228925,13256.48,968968.53158705,13256.48
968969.01325645,13256.96,968969.01264115,13256.96
968969.41824145,13257.36,968969.41772275,13257.36
968970.36735385,13258.31,968970.36653555,13258.31
968971.00223565,13258.95,968971.00157095,13258.95
968971.93915295,13259.88,968971.93882525,13259.88
968972.75120145,13260.69,968972.75062695,13260.69
968973.85313365,13261.8,968973.85253355,13261.8
968974.46303575,13262.41,968974.46253105,13262.41
968975.01811705,13262.96,968975.01760195,13262.96
968975.93610455,13263.88,968975.93560785,13263.88
968976.85608965,13264.8,968976.85551495,13264.8
968977.57509375,13265.52,968977.57476935,13265.52
968978.37015425,13266.31,968978.36963135,13266.31
968979.16301825,13267.11,968979.16266695,13267.11
968979.42804365,13267.37,968979.42769535,13267.37
968980.17997735,13268.12,968980.17967585,13268.12
968981.02004115,13268.96,968981.01959655,13268.96
968981.33310835,13269.28,968981.33263225,13269.28
968982.09598495,13270.04,968982.09559275,13270.04
968983.02290485,13270.97,968983.02265625,13270.97
968983.28497095,13271.23,968983.28451175,13271.23
968984.39297575,13272.34,968984.39276875,13272.34
968984.55023765,13272.49,968984.55067095,13272.49
968985.52902375,13273.47,968985.52853035,13273.47
968986.08798345,13274.03,968986.08760725,13274.03
968986.69503785,13274.64,968986.69427615,13274.64
968987.43881735,13275.38,968987.43851625,13275.38
968987.71889655,13275.66,968987.71868585,13275.66
968988.09182565,13276.04,968988.09170835,13276.04
968988.19987195,13276.14,968988.19963385,13276.14
968988.65189605,13276.6,968988.65139965,13276.6
968989.58179115,13277.53,968989.58178105,13277.53
968989.95493635,13277.9,968989.95521375,13277.9
968990.96390015,13278.91,968990.96409015,13278.91
968991.64677565,13279.59,968991.64639545,13279.59
968992.72886205,13280.67,968992.72938785,13280.67
968993.46180645,13281.41,968993.46165705,13281.41
968993.86678645,13281.81,968993.866018,13281.81
968994.85687695,13282.8,968994.8567645,13282.8
968995.77476415,13283.72,968995.7740523,13283.72
968996.44372465,13284.39,968996.4432495,13284.39
968996.84777965,13284.79,968996.8477453,13284.79
968997.15766705,13285.1,968997.1570894,13285.1
968997.98266025,13285.93,968997.9821189,13285.93
968998.97810555,13286.92,968998.9776893,13286.92
968999.26972325,13287.21,968999.2700904,13287.21
968999.59671575,13287.54,968999.5970726,13287.54
968999.96964455,13287.91,968999.96983,13287.91
969000.26660015,13288.21,969000.2660671,13288.21
969000.83970185,13288.78,969000.8395943,13288.78
969001.22469545,13289.17,969001.2241553,13289.17
969001.55164925,13289.5,969001.5510335,13289.5
969001.72357695,13289.67,969001.7229784,13289.67
969001.94068755,13289.88,969001.9399592,13289.88
969002.48559965,13290.43,969002.4850825,13290.43
969002.97673365,13290.92,969002.975912,13290.92
969003.31863855,13291.26,969003.3180423,13291.26
969004.39053745,13292.33,969004.3900784,13292.33
969004.57655095,13292.52,969004.5760436,13292.52
969005.02548445,13292.97,969005.0258392,13292.97
969005.21053815,13293.15,969005.2104994,13293.15
969006.14451065,13294.09,969006.1448279,13294.09
969006.48658165,13294.43,969006.4864461,13294.43
969007.03054545,13294.97,969007.029966,13294.97
969007.60256775,13295.55,969007.6019994,13295.55
969007.71158435,13295.66,969007.7109716,13295.66
969008.19458255,13296.14,969008.1949402,13296.14
969009.09655495,13297.04,969009.0966651,13297.04
969009.32956985,13297.27,969009.3289436,13297.27
969009.60858855,13297.55,969009.6097672,13297.55
969009.73248575,13297.68,969009.7329576,13297.68
969010.28049505,13298.22,969010.2798246,13298.22
969010.71147455,13298.66,969010.7109575,13298.66
969011.67051235,13299.61,969011.6701618,13299.61
969012.04343695,13299.99,969012.0431047,13299.99
969013.02144865,13300.97,969013.0209299,13300.97
969013.92246885,13301.87,969013.9219438,13301.87
969014.37446795,13302.32,969014.3739691,13302.32
969015.46441185,13303.41,969015.463954,13303.41
969015.86639535,13303.81,969015.8659173,13303.81
969016.24139865,13304.19,969016.2427032,13304.19
969016.73651635,13304.68,969016.737647,13304.68
969017.82927785,13305.77,969017.8289122,13305.77
969018.72739225,13306.67,969018.7278942,13306.67
969019.58138505,13307.53,969019.5821073,13307.53
969019.81553255,13307.76,969019.8159596,13307.76
969020.65836735,13308.6,969020.6589183,13308.6
969020.9224322,13308.87,969020.9223468,13308.87
969021.4963778,13309.44,969021.4967072,13309.44
969021.7753309,13309.72,969021.7748642,13309.72
969022.6312352,13310.58,969022.6306394,13310.58
969023.3932824,13311.34,969023.3926981,13311.34
969023.72023,13311.66,969023.7198622,13311.66
969024.3712469,13312.32,969024.3713472,13312.32
969025.2192024,13313.16,969025.2188222,13313.16
969026.0442736,13313.99,969026.043686,13313.99
969026.1991691,13314.14,969026.1988161,13314.14
969027.072196,13315.02,969027.0715217,13315.02
969027.4302874,13315.37,969027.4301451,13315.37
969028.4261164,13316.37,969028.4264793,13316.37
969029.3422548,13317.29,969029.3417156,13317.29
969029.8721976,13317.82,969029.8726948,13317.82
969030.1221199,13318.07,969030.1216263,13318.07
969030.2461391,13318.19,969030.2456476,13318.19
969030.8071663,13318.75,969030.8066203,13318.75
969031.7420825,13319.69,969031.7416705,13319.69
969032.7540534,13320.7,969032.7536763,13320.7
969033.0920821,13321.04,969033.09142,13321.04
969034.0530413,13322,969034.0524755,13322
969034.7230646,13322.67,969034.7232287,13322.67
969035.4209909,13323.37,969035.4206758,13323.37
969036.4161602,13324.36,969036.4173641,13324.36
969037.5200277,13325.46,969037.5197356,13325.46
969038.4190601,13326.36,969038.4187434,13326.36
969038.5900346,13326.53,969038.5904965,13326.53
969039.3969757,13327.34,969039.3964714,13327.34
969040.3499068,13328.29,969040.3496418,13328.29
969040.9068777,13328.85,969040.9070547,13328.85
969041.7009811,13329.65,969041.7005453,13329.65
969042.1529364,13330.1,969042.1525074,13330.1
969042.5249926,13330.47,969042.5246236,13330.47
969042.8519458,13330.8,969042.8513216,13330.8
969043.2840166,13331.23,969043.2846837,13331.23
969044.3468443,13332.29,969044.3467543,13332.29
969044.8880615,13332.83,969044.8890267,13332.83
969045.3728962,13333.32,969045.3727438,13333.32
969045.6979374,13333.64,969045.6981181,13333.64
969046.5867654,13334.53,969046.5865849,13334.53
969046.818943,13334.76,969046.8184169,13334.76
969047.4708006,13335.42,969047.4707767,13335.42
969048.4008935,13336.35,969048.4005925,13336.35
969048.5247832,13336.47,969048.5246101,13336.47
969048.7417867,13336.69,969048.7412798,13336.69
969048.9587289,13336.9,969048.9589965,13336.9
969049.5317989,13337.48,969049.5315385,13337.48
969050.4957642,13338.44,969050.4957759,13338.44
969050.8517855,13338.8,969050.8516918,13338.8
969051.93478465,13339.88,969051.93421345,13339.88
969052.38874645,13340.33,969052.38834325,13340.33
969053.40176935,13341.35,969053.40113425,13341.35
969053.74181495,13341.69,969053.74121435,13341.69
969054.36683365,13342.31,969054.36600685,13342.31
969054.78662185,13342.73,969054.78661045,13342.73
969055.79163435,13343.74,969055.79185865,13343.74
969056.49264855,13344.44,969056.49224885,13344.44
969057.44963775,13345.39,969057.44903105,13345.39
969058.22567215,13346.17,969058.22500015,13346.17
969058.75974745,13346.7,969058.75903785,13346.7
969059.35963185,13347.3,969059.35900895,13347.3
969059.49964715,13347.44,969059.49902525,13347.44
969060.48655705,13348.43,969060.48596725,13348.43
969061.18559255,13349.13,969061.18587565,13349.13
969061.37258245,13349.32,969061.37229025,13349.32
969062.38158155,13350.33,969062.38099795,13350.33
969063.11356675,13351.06,969063.11279635,13351.06
969063.82661495,13351.77,969063.82611625,13351.77
969064.04358215,13351.99,969064.04372055,13351.99
969064.33960315,13352.28,969064.33887925,13352.28
969065.03853735,13352.98,969065.03860025,13352.98
969065.22652265,13353.17,969065.22594705,13353.17
969065.94051565,13353.89,969065.93994185,13353.89
969066.16054725,13354.11,969066.16016355,13354.11
969066.37947325,13354.32,969066.37889155,13354.32
969066.78262145,13354.73,969066.78289365,13354.73
969067.63859215,13355.58,969067.63893485,13355.58
969068.30850755,13356.25,969068.30887295,13356.25
969069.21653645,13357.16,969069.21687725,13357.16
969070.21153885,13358.16,969070.21189995,13358.16
969070.63348065,13358.58,969070.63291855,13358.58
969070.96049615,13358.91,969070.96165415,13358.91
969071.53445135,13359.48,969071.53484635,13359.48
969072.53244715,13360.48,969072.53296175,13360.48
969072.75045225,13360.7,969072.75086845,13360.7
969073.65245505,13361.6,969073.65291385,13361.6
969073.88448375,13361.83,969073.88485165,13361.83
969074.73833365,13362.68,969074.73783935,13362.68
969075.74936145,13363.69,969075.74906755,13363.69
969076.27849185,13364.22,969076.27774065,13364.22
969076.74533485,13364.69,969076.74581885,13364.69
969077.44231805,13365.39,969077.44286725,13365.39
969078.25420895,13366.2,969078.25494855,13366.2
969079.15732295,13367.1,969079.15764565,13367.1
969079.56129035,13367.51,969079.56186525,13367.51
969079.74723485,13367.69,969079.74768635,13367.69
969080.53428855,13368.48,969080.53490985,13368.48
969080.86127925,13368.81,969080.86187675,13368.81
969081.91417095,13369.86,969081.91483245,13369.86
969082.2402144,13370.19,969082.2402591,13370.19
969082.8322743,13370.78,969082.8325254,13370.78
969083.8143773,13371.76,969083.8145525,13371.76
969084.6701541,13372.62,969084.6702283,13372.62
969084.8431782,13372.79,969084.8431914,13372.79
969085.3362517,13373.28,969085.3362463,13373.28
969085.7142641,13373.66,969085.7144842,13373.66
969086.1192367,13374.06,969086.1194572,13374.06
969086.3372279,13374.28,969086.3374346,13374.28
969086.8651773,13374.81,969086.8654732,13374.81
969086.9892543,13374.93,969086.9892792,13374.93
969087.2520804,13375.2,969087.2524987,13375.2
969087.375215,13375.32,969087.3754945,13375.32
969087.5471819,13375.49,969087.5474902,13375.49
969088.4301683,13376.38,969088.4302482,13376.38
969088.6623938,13376.61,969088.6625343,13376.61
969089.0511301,13377,969089.0511998,13377
969089.7471407,13377.69,969089.7465806,13377.69
969090.8530399,13378.8,969090.8526729,13378.8
969091.4602132,13379.41,969091.4610748,13379.41
969091.8800588,13379.83,969091.8793363,13379.83
969092.7720011,13380.72,969092.771412,13380.72
969093.7650203,13381.71,969093.7653841,13381.71
969094.5779944,13382.52,969094.577495,13382.52
969095.3740438,13383.32,969095.3734893,13383.32
969096.307027,13384.25,969096.3063841,13384.25
969096.4160239,13384.36,969096.4153753,13384.36
969096.8840868,13384.83,969096.88334,13384.83
969097.8159819,13385.76,969097.8153301,13385.76
969098.7459004,13386.69,969098.7453602,13386.69
969098.8871132,13386.83,969098.8863077,13386.83
969099.6279501,13387.57,969099.6272666,13387.57
969100.2619454,13388.21,969100.2613139,13388.21
969100.9979279,13388.94,969100.9971373,13388.94
969101.699915,13389.65,969101.6993744,13389.65
969102.2119884,13390.16,969102.2113025,13390.16
969102.7839835,13390.73,969102.7833402,13390.73
969103.3578369,13391.3,969103.3573272,13391.3
969103.8549174,13391.8,969103.8544391,13391.8
969104.4649032,13392.41,969104.464305,13392.41
969105.4069202,13393.35,969105.4073345,13393.35
969106.0098277,13393.96,969106.0092581,13393.96
969106.1348865,13394.08,969106.1342751,13394.08
969106.5848234,13394.53,969106.5842733,13394.53
969107.5668827,13395.51,969107.5661758,13395.51
969107.9397681,13395.89,969107.9392925,13395.89
969108.3937459,13396.34,969108.3931855,13396.34
969109.0157541,13396.96,969109.0151353,13396.96
969110.0566536,13398,969110.0563252,13398
969110.8517985,13398.8,969110.851244,13398.8
969110.97574285,13398.92,969110.97582295,13398.92
969111.57775165,13399.52,969111.57710555,13399.52
969112.36965235,13400.32,969112.36911785,13400.32
969113.21075665,13401.16,969113.20993225,13401.16
969113.96775075,13401.91,969113.96813015,13401.91
969114.49878685,13402.44,969114.49806985,13402.44
969115.20072095,13403.15,969115.19998815,13403.15
969115.46472275,13403.41,969115.46405815,13403.41
969115.63570375,13403.58,969115.63510785,13403.58
969115.99273845,13403.94,969115.99314585,13403.94
969116.48967525,13404.44,969116.48911865,13404.44
969117.49956095,13405.45,969117.49918435,13405.45
969118.07565015,13406.02,969118.07612665,13406.02
969118.46659435,13406.41,969118.46604365,13406.41
969118.94968005,13406.9,969118.94911525,13406.9
969119.45671335,13407.4,969119.45698815,13407.4
969120.20057735,13408.15,969120.20007275,13408.15
969120.69861285,13408.64,969120.69869815,13408.64
969121.28662995,13409.23,969121.28715055,13409.23
969121.76766645,13409.71,969121.76780645,13409.71
969122.54460315,13410.49,969122.54490775,13410.49
969123.46150945,13411.41,969123.46121455,13411.41
969123.75868535,13411.7,969123.75809415,13411.7
969124.36342305,13412.31,969124.36311135,13412.31
969125.12693745,13413.07,969125.12766255,13413.07
969126.03558865,13413.98,969126.03611335,13413.98
969126.92255215,13414.87,969126.92306255,13414.87
969127.57453295,13415.52,969127.57413285,13415.52
969128.52339475,13416.47,969128.52321485,13416.47
969129.05847055,13417,969129.05868585,13417
969129.64646215,13417.59,969129.64582975,13417.59
969130.23842045,13418.18,969130.23863665,13418.18
969130.78134455,13418.73,969130.78100565,13418.73
969131.03141545,13418.98,969131.03148055,13418.98
969131.94735055,13419.89,969131.94712855,13419.89
969132.60242775,13420.55,969132.60232705,13420.55
969133.65535785,13421.6,969133.65569795,13421.6
969134.55736555,13422.5,969134.55702615,13422.5
969135.64324405,13423.59,969135.64287635,13423.59
969135.92630295,13423.87,969135.92596765,13423.87
969136.84131865,13424.79,969136.84277385,13424.79
969137.23218855,13425.18,969137.23263235,13425.18
969137.75528285,13425.7,969137.75493575,13425.7
969138.01830435,13425.96,969138.01903285,13425.96
969138.25215985,13426.2,969138.25199375,13426.2
969139.29325475,13427.24,969139.29294745,13427.24
969139.41619975,13427.36,969139.41615375,13427.36
969140.25433455,13428.2,969140.25566035,13428.2
969141.32424595,13429.27,969141.32506405,13429.27
969141.92023235,13429.87,969141.92078895,13429.87
969142.6550784,13430.6,969142.654544,13430.6
969143.7152279,13431.66,969143.7149861,13431.66
969143.8851157,13431.83,969143.8844648,13431.83
969144.5540973,13432.5,969144.5542278,13432.5
969144.6792236,13432.63,969144.6792455,13432.63
969145.0061596,13432.95,969145.0064063,13432.95
969145.4091432,13433.36,969145.4084603,13433.36
969145.7030972,13433.65,969145.702532,13433.65
969145.8901128,13433.84,969145.8895396,13433.84
969146.8561081,13434.8,969146.8555962,13434.8
969147.6112077,13435.56,969147.6115508,13435.56
969147.769126,13435.72,969147.769479,13435.72
969148.2190755,13436.17,969148.2185141,13436.17
969148.9541065,13436.9,969148.9535566,13436.9
969149.8380812,13437.78,969149.8374494,13437.78
969150.8470246,13438.79,969150.8469662,13438.79
969151.4209971,13439.37,969151.4205969,13439.37
969151.8740387,13439.82,969151.8734434,13439.82
969152.4710304,13440.42,969152.4712231,13440.42
969153.4190219,13441.37,969153.4185644,13441.37
969153.9780849,13441.92,969153.9774668,13441.92
969154.9149942,13442.86,969154.9146337,13442.86
969155.4549364,13443.4,969155.455179,13443.4
969155.859973,13443.81,969155.8594587,13443.81
969156.5299076,13444.48,969156.5294738,13444.48
969157.0128537,13444.96,969157.0124587,13444.96
969157.5189596,13445.47,969157.5183495,13445.47
969157.6750254,13445.62,969157.6744293,13445.62
969158.1388156,13446.09,969158.1384817,13446.09
969158.9648771,13446.91,969158.9644646,13446.91
969159.862912,13447.81,969159.8624672,13447.81
969160.0169264,13447.96,969160.0165255,13447.96
969160.7179179,13448.66,969160.7174614,13448.66
969161.1708233,13449.12,969161.1710232,13449.12
969162.0858815,13450.03,969162.0853501,13450.03
969162.7118134,13450.66,969162.7114869,13450.66
969163.2539314,13451.2,969163.254439,13451.2
969164.2528177,13452.2,969164.2524858,13452.2
969164.481857,13452.43,969164.4814523,13452.43
969165.1827716,13453.13,969165.1823319,13453.13
969165.5377839,13453.48,969165.5374017,13453.48
969166.4077789,13454.35,969166.4076248,13454.35
969167.2486815,13455.2,969167.2484467,13455.2
969167.4797862,13455.43,969167.4794734,13455.43
969168.1227353,13456.07,969168.1223755,13456.07
969168.9817525,13456.93,969168.9815661,13456.93
969170.0527342,13458,969170.0525927,13458
969170.9417205,13458.89,969170.941463,13458.89
969171.425693,13459.37,969171.4255928,13459.37
969171.7636845,13459.71,969171.7636248,13459.71
969172.3377505,13460.28,969172.33711425,13460.28
969173.1176785,13461.06,969173.11762835,13461.06
969173.4737444,13461.42,969173.47360635,13461.42
969173.7076877,13461.66,969173.70810825,13461.66
969173.8486808,13461.8,969173.84780415,13461.8
969174.7717232,13462.72,969174.77208625,13462.72
969175.4066131,13463.35,969175.40611345,13463.35
969176.2816748,13464.23,969176.28098855,13464.23
969177.3805746,13465.33,969177.38103685,13465.33
969178.1277085,13466.08,969178.12800945,13466.08
969179.0456634,13466.99,969179.04585745,13466.99
969179.4156115,13467.36,969179.41618505,13467.36
969180.3616302,13468.31,969180.36206895,13468.31
969180.8108456,13468.76,969180.81156615,13468.76
969180.981541,13468.93,969180.98102405,13468.93
969181.6825201,13469.63,969181.68208005,13469.63
969182.2625431,13470.21,969182.26182585,13470.21
969183.3625663,13471.31,969183.36283395,13471.31
969184.3124354,13472.26,969184.31218395,13472.26
969184.6864869,13472.63,969184.68587585,13472.63
969185.2614732,13473.21,969185.26092075,13473.21
969185.9584839,13473.91,969185.95853275,13473.91
969186.2873489,13474.23,969186.28672005,13474.23
969187.2933823,13475.24,969187.29286265,13475.24
969188.0033212,13475.95,969188.00296985,13475.95
969188.8124008,13476.76,969188.81215535,13476.76
969189.0143066,13476.96,969189.01458775,13476.96
969189.4333585,13477.38,969189.43284075,13477.38
969190.3193907,13478.27,969190.31987615,13478.27
969191.2393816,13479.19,969191.23875065,13479.19
969191.7673176,13479.71,969191.76695475,13479.71
969192.5002671,13480.45,969192.50001855,13480.45
969193.2772916,13481.22,969193.27677765,13481.22
969193.5083008,13481.46,969193.50776415,13481.46
969193.8822874,13481.83,969193.88178155,13481.83
969194.0992628,13482.05,969194.09874015,13482.05
969195.0192203,13482.97,969195.02006545,13482.97
969195.5962091,13483.54,969195.59611905,13483.54
969196.0143245,13483.96,969196.01378235,13483.96
969197.1032188,13485.05,969197.10334275,13485.05
969198.1902329,13486.14,969198.18958695,13486.14
969198.9641263,13486.91,969198.96374925,13486.91
969199.9631846,13487.91,969199.96286695,13487.91
969200.5401973,13488.49,969200.53998895,13488.49
969201.4280839,13489.38,969201.42770185,13489.38
969202.5150391,13490.46,969202.51471255,13490.46
969203.5590728,13491.51,969203.55865215,13491.51
969204.0540832,13492,969204.05404775,13492
969204.2080927,13492.16,969204.20854675,13492.16
969205.2390488,13493.19,969205.23860385,13493.19
969205.6290113,13493.58,969205.6286716,13493.58
969206.7120754,13494.66,969206.711328,13494.66
969207.7700006,13495.72,969207.7693889,13495.72
969207.9880186,13495.94,969207.9873714,13495.94
969208.8750165,13496.82,969208.8743336,13496.82
969209.8540739,13497.8,969209.8542586,13497.8
969210.4161216,13498.36,969210.4162442,13498.36
969210.8529484,13498.8,969210.8523292,13498.8
969211.5038659,13499.45,969211.5033084,13499.45
969211.9539638,13499.9,969211.9535694,13499.9
969212.7799972,13500.73,969212.7803507,13500.73
969213.1049298,13501.05,969213.1050831,13501.05
969213.2129854,13501.16,969213.2139587,13501.16
969213.494997,13501.44,969213.4950812,13501.44
969213.8219682,13501.77,969213.8223351,13501.77
969214.1179071,13502.07,969214.1176223,13502.07
969214.8148629,13502.76,969214.8143293,13502.76
969215.6188059,13503.57,969215.6183654,13503.57
969215.8168824,13503.76,969215.8169123,13503.76
969216.8769032,13504.82,969216.8773485,13504.82
969217.7728816,13505.72,969217.7732869,13505.72
969217.8959596,13505.84,969217.8961058,13505.84
969218.6708336,13506.62,969218.6713206,13506.62
969219.6467264,13507.59,969219.6472888,13507.59
969220.0487338,13508,969220.0493112,13508
969220.9538365,13508.9,969220.954384,13508.9
969221.7447518,13509.69,969221.7452032,13509.69
969222.602773,13510.55,969222.6030287,13510.55
969222.8367751,13510.78,969222.8363952,13510.78
969223.5688016,13511.52,969223.5683419,13511.52
